id,name,artists,popularity,year,explicit,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,url
02dphTJYUQ9pmdNC52iyOz,Fiesta Pagana,Mägo de Oz,67,2000,0,296751,0.0124,0.434,0.897,4.22e-05,11,0.0772,-4.845,0,0.0695,135.54,0.376,https://open.spotify.com/track/02dphTJYUQ9pmdNC52iyOz
02iYJG3KLBJODa5JkQ4O6y,hooligan,Baby Keem,69,2020,1,156774,0.198,0.77,0.636,2.92e-06,10,0.115,-7.636,0,0.0901,93.032,0.414,https://open.spotify.com/track/02iYJG3KLBJODa5JkQ4O6y
02jcEwywffn3Tsb48fXmlW,Get the Party Started,P!nk,67,2001,0,192533,0.00108,0.802,0.904,0.0,11,0.173,-3.267,0,0.0459,128.931,0.961,https://open.spotify.com/track/4bk78jvK8Fe9YHqruOJW0v
02lTDOxHeXTHsdwXoz6lpC,In the Meantime,Spacehog,61,1995,0,299507,0.083,0.2689999999999999,0.895,0.00266,9,0.153,-6.3820000000000014,1,0.118,168.479,0.16,https://open.spotify.com/track/02lTDOxHeXTHsdwXoz6lpC
02opp1cycqiFNDpLd2o1J3,Big Lie,Post Malone,67,2016,1,207680,0.191,0.442,0.684,0.0,6,0.0725,-4.888,0,0.168,170.861,0.218,https://open.spotify.com/track/02opp1cycqiFNDpLd2o1J3
02qswZAPOcTSpqU0OpBN7s,De Los Besos Que Te Di,Christian Nodal,0,2021,0,167373,0.3879999999999999,0.502,0.503,0.0,7,0.0608,-3.313,1,0.0422,195.598,0.7090000000000001,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
034KyQEk7IhbLtniVhBErj,17,Pink Sweat$,73,2020,0,160737,0.1689999999999999,0.5579999999999999,0.364,9.940000000000004e-05,5,0.109,-8.663,1,0.0502,129.17,0.252,https://open.spotify.com/track/034KyQEk7IhbLtniVhBErj
03UrZgTINDqvnUMbbIMhql,Gangnam Style (강남스타일),PSY,71,2012,0,219493,0.00417,0.727,0.937,0.0,11,0.091,-2.8710000000000004,0,0.286,132.067,0.7490000000000001,https://open.spotify.com/track/1R2SZUOGJqqBiLuvwKOT2Y
03f7xZmt2wHCIDJBFPK8G4,Soap,Melanie Martinez,68,2015,0,209427,0.254,0.595,0.6890000000000001,5.44e-06,6,0.129,-6.107,0,0.148,168.112,0.213,https://open.spotify.com/track/03f7xZmt2wHCIDJBFPK8G4
03mMSLEJCPoGJwQhHpN5y0,Treat People With Kindness,Harry Styles,75,2019,0,197347,0.128,0.653,0.8690000000000001,2.2e-05,5,0.046,-3.725,1,0.0382,122.017,0.6970000000000001,https://open.spotify.com/track/03mMSLEJCPoGJwQhHpN5y0
03qDVofuUUQSsSQCLWX0eF,Gold,Chet Faker,57,2014,0,285291,0.381,0.616,0.505,0.00115,1,0.161,-9.307,1,0.0579999999999999,139.95600000000002,0.228,https://open.spotify.com/track/03qDVofuUUQSsSQCLWX0eF
03rcC8SVxCa9UdY5qgkITe,Not PLaying,Playboi Carti,70,2020,1,130306,0.00821,0.815,0.762,0.0,2,0.337,-5.045,1,0.2189999999999999,140.092,0.317,https://open.spotify.com/track/03rcC8SVxCa9UdY5qgkITe
03wKMRNYVvw6s9nm4I4jUS,Wolf Like Me,TV On The Radio,61,2006,0,279293,0.0017699999999999,0.363,0.787,0.00446,7,0.531,-5.0710000000000015,1,0.0429,175.919,0.201,https://open.spotify.com/track/03wKMRNYVvw6s9nm4I4jUS
042Y7INHELtUGh8LRtl3X5,This Is Halloween,Marilyn Manson,50,2008,0,202333,0.118,0.484,0.95,7.3e-05,5,0.0943,-6.359,0,0.175,168.196,0.331,https://open.spotify.com/track/7zC3NyXdjzeebeKmXuGvHC
